Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords
LE RELAIS NORD EST ILE DE FRANCE,FR,France,PLOISY,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the creation of jobs for people in situations of exclusion through the collection and recycling of textiles and paper,Services,Création d'emplois pour les personnes en situation d'exclusion par le biais de la collecte et de la valorisation de textiles et papiers.,Engaged in the creation of jobs for people in situations of exclusion through the collection and recycling of textiles and paper [source: Bureau van Dijk],www.lerelais.org,0,-1,0,6,4,5,YES,NO,YES,www.lerelais-soissons.org,le Relais,"Le Relais est la seule filière offrant un service de collecte des dons en porte à porte ou conteneur, de tri et de recyclage de vêtement, chaussure et textile d'occasion entièrement dédiée à la lutte contre l'exclusion par la création d'emplois durables. Vous trouverez sur ce site la liste des endroits où donner vos vêtements. Vous pouvez nous rendre visite dans nos boutiques d'occasion Ding Fring. Notre vocation : mettre léconomie au service de lhomme.","le relais,emmaüs,collecte vetement, donner vêtement,conteneur vetement,dépôt de vêtements,recyclage textile,isolant,insertion,donner chaussure,solidarite,emploi,scop, economie solidaire,exclusion,achat chiffon,vente chiffon",,,
LIMITED LIABILITY COMPANY SUNSHINE,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,suns.ru,1,0,0,6,4,6,YES,NO,NO,,Языковая школа в Барнауле — «Саншайн» | Языковая школа «Саншайн»,Саншайн — это детский языковой центр дополнительного образования. В настоящее время это один из ведущих центров в сфере отдыха и развития детей в Алтайском крае.,Главная,,,
GIOIELLERIA SALVINI - S.R.L.,IT,Italie,MASSA,VIALE EUGENIO CHIESA 7,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,GIOIELLERIA,,gioielleriesalvini.it,1,0,0,6,4,6,YES,NO,NO,www.gioielleriasalvini.it,,,,Gioielleria Salvini | Rivenditore Autorizzato Rolex,"Gioielleria Salvini, a Massa e con boutique Rolex a Forte dei Marmi, dal 1958 orologi e gioielli di alta gamma e professionalità.","Salvini, Forte di Marmi, Rolex a Forte dei Marmi, Rivenditore Rolex, Rivenditore Ufficiale Rolex, Orologi di lusso, Orologi Svizzeri, Assistenza Rolex, Gioielleria, Gioielli"
LAHDEN KELLOKESKUS OY,FI,Finlande,LAHTI,PL 222,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Yhtiön toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vähittäiskauppa sekä alan huolto- ja korjaustoiminta. Edelleen yhtiön toimialana on koti- ja ulkomaisten kiinteistöjen, asunto-, kiinteistö-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.","Yhtion toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vahittaiskauppa seka alan huolto- ja korjaustoiminta. Edelleen yhtion toimialana on koti- ja ulkomaisten kiinteistojen, asunto-, kiinteisto-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.",www.timanttiset.fi,0,0,0,6,5,4,YES,NO,NO,www.kalevalashop.com,Timanttiset - kellot ja korut netistä | Timanttiset.fi,Tervetuloa Timanttiset -verkkokauppaan! Liity veloituksetta Timanttisten Kulta-asiakkaaksi - saat 20% alennusta seuraavasta verkkokauppaostoksestasi,"kellot, korut, kellot netistä, korut netistä",Kalevala - buy Kalevala jewelry from the official online store,You can find the widest selection of Kalevala jewelry in the official online store of Kalevala jewelry. Fast delivery directly from the factory - order now!,
TIFOTEX SP. Z O.O.,PL,Pologne,ANDRYCHOW,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.tifo.com.pl,0,0,0,6,6,10,YES,YES,,,,,,,,
PROIEZIONE SRL,IT,Italie,MILANO,VIA ALESSANDRO MANZONI 44,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of specialized lines of apparel and accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of specialized lines of apparel and accessories [source: Bureau van Dijk],www.dmagazine.it,0,0,0,6,4,8,YES,NO,NO,www.dmag.eu,,,,DMAG Designer Fashion Outlet,DMAG Designer Fashion Outlet,
JOSE SANGIL SL,ES,Espagne,GANDIA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,"Explotación de joyería, relojería",,www.prjoyeros.com,1,1,0,6,5,6,YES,NO,NO,,Joyería Online - Pedro Rodriguez Joyeros - Joyería en Gandia,"Descubre la exclusividad y elegancia en la joyería online de PR Joyeros. Encuentra anillos, pulseras, collares y más, con diseños únicos y personalizados.",,,,
NOSSA S.R.L.,IT,Italie,VARESE,VIALE BELFORTE 315,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",,,0,0,0,6,4,6,YES,NO,NO,,,,,,,
ZANABONI S.R.L.,IT,Italie,ARONA,VIA CAMILLO BENSO CONTE DI CAVOUR 97,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.zanabonigioielli.it,1,1,1,6,5,5,YES,NO,NO,,Zanaboni,,,,,
SMART TRADING LTDOOD EOOD,BG,Bulgarie,SOFIA,"BUL. VITOSHA 38, MAGAZIN ROYAL HOUSE",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,"???????? ? ???????? ?????????, ??????????????, ?????? ? ??.","Trade in watches, jewellery and miscellaneous other present articles",,0,0,0,6,5,8,YES,NO,NO,,,,,,,
