Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in English,Website,"Operating result [=EBIT] mEUR 2021","Operating result [=EBIT] mEUR 2020","Operating result [=EBIT] mEUR 2019","Turnover mEUR 2021","Turnover mEUR 2020","Turnover mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
CARRY SP. Z O.O.,PL,Pologne,POZNAN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,Trade: outwear,www.carry.pl,9.0,2.0,6.0,56,50,79,YES,NO,NO
PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],"pandora.net",4.0,1.0,13.0,55,41,77,YES,NO,NO
PLANETA SPORT D.O.O. BEOGRAD,RS,Serbie,BEOGRAD-VRACAR,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail of sports equipment, accessories, and clothing products",Retail,Retail sale of clothing in specialised stores,"www.planetasport.rs",9.0,7.0,7.0,54,44,42,YES,NO,NO
VENEZIA OGANOWSKA NACHILO SP.J.,PL,Pologne,WARSZAWA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Primarily engaged in the retail sale of footwear and leather goods,Retail,"Trade: footwear, leather accessories","www.venezia.pl",0.0,-6.0,3.0,53,45,65,YES,NO,YES
MYUNTS GRUPP,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",thomas-muenz.ru,8.0,4.0,3.0,53,29,47,YES,NO,NO
VAN GRAAF GMBH SP.K.,PL,Pologne,WROCLAW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of outerwear,Retail,Trade: outwear,"www.vangraaf.pl",-1.0,-6.0,2.0,48,37,59,YES,YES,
NEW YORKER FINLAND OY,FI,Finlande,HELSINKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels and accessories,Retail,"Bolagets verksamhetsomrade ar detaljforsaljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som ar forknippat med de. Bolaget kann aga fastigheter, vardepapper och aktier.","www.newyorker.de",9.0,5.0,4.0,48,39,37,YES,NO,NO
IRIDE METALLI SPA,IT,Italie,MILANO,VIALE CERTOSA 95,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry products,Retail,Engaged in the retail sale of watches and jewelry products [source: Bureau van Dijk],www.iridemetalli.com,0.0,0.0,0.0,46,48,52,YES,NO,NO
RETAIL DISTRIBUTION CONCEPTS,BE,Belgique,BRUXELLES,MARGUERITE BERVOETSSTRAAT 94,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,Engaged in the retail sale of footwear [source: Bureau van Dijk],"www.retail-distribution.info",-3.0,-5.0,-1.0,45,35,50,YES,YES,
SZINGA-SPORT KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and footwear products,Retail,Engaged in the retail sale of clothing and footwear products [source: Bureau van Dijk],"www.playersroom.hu",1.0,0.0,3.0,45,36,53,YES,NO,NO
KOTON TEXTILE LLC,RU,Fédération de Russie,MOSCOW,"NAB. NOVODANILOVSKAYA D. 6, K. 1, POM.XXIX KOM. 4",4771,Commerce de détail d'habillement en magasin spécialisé,Retail sale of clothing,Retail,Retail trade with clothing in Koton retail chain,textile.ru,-1.0,-3.0,-1.0,45,33,66,YES,YES,
VERTIKALNOE INTEGRIROVANIE,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.tervolina.ru,1.0,2.0,3.0,39,35,72,YES,NO,NO
CROCKID LIMITED TRADE DEVELOPMENT,RU,Fédération de Russie,PERM,"UL. YAKHTENNAYA D. 24, K. 2 LIT. A, POMESHCH. 54-N, POMESHCH. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,children's wear.,crockid.ru,7.0,3.0,3.0,36,19,19,YES,NO,NO
"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus","www.deichmann.hr",5.0,2.0,5.0,35,29,37,YES,NO,NO
OFFPRAIS,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Sale of clothes,www.offprice.eu,4.0,2.0,4.0,34,23,33,YES,NO,NO
VALTER FRANCO RICCI SOCIETA' PER AZIONI SIGLABILE IN VALTER FRANCO RICCI S.P.A.,IT,Italie,ALESSANDRIA,CORSO ROMA 144,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products,Retail,Engaged in the retail sale of jewelry products [source: Bureau van Dijk],www.astrua.com,3.0,2.0,2.0,33,26,30,YES,NO,NO
UAB ARMITANA,LT,Lituanie,VILNIAUS M.,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.armitana.lt,3.0,1.0,1.0,32,23,27,YES,NO,NO
DIANITA STRUMICA DOOEL,MK,Macédoine du Nord,STRUMICA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],No Website,2.0,1.0,1.0,32,61,8,YES,NO,NO
LAGRANGE 12 S.R.L.,IT,Italie,BRESCIA,VIA CODIGNOLE 45,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, shoes and accessories",Retail,"Engaged in the retail sale of clothing, shoes and accessories [source: Bureau van Dijk]",www.lagrange12.it,1.0,0.0,0.0,32,28,27,YES,NO,NO
"GAP RETAIL, A LIMITED LIABILITY COMPANY",RU,Fédération de Russie,MOSCOW,"PL. PAVELETSKAYA D. 2, STR. 2, POMESHCH. I KOMN 40-41 ET 1",4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,Operates as a clothing and apparel store [source: Bureau van Dijk],marks-and-spencer.ru,6.0,1.0,2.0,32,21,31,YES,NO,NO
MASS SHOES D.O.O.,HR,Croatie,KLANJEC,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Primarily engaged in the retail distribution of footwear and leather goods for men, women and children",Retail,"Trgovina obucom;Note COVID-19:;The company's business operations are directly / indirectly affected by the consequences of official measures and recommendations to reduce the risk of corona infections. The Croatian Government proposed a set of measures to mitigate the effects of the special circumstances caused by the coronavirus epidemic. Employment protection measures:;-Croatian Employment Fund (CEF) is providing grants to support job preservation in COVID 19 affected sectors;Tax measures:;-Employers utilizing the grant provided by CEF to support job preservation are exempted from paying contributions on supported net salaries ;-Possibility to defer payment of VAT until issued invoices are settled. -Taxpayers whose business activities are during special circumstances banned, disabled or significantly impeded by decisions of the competent authority may be fully or partially exempted from paying their tax obligations ;The subject has received: ;- HRK 541.125,00 for 167 employees as support for salaries in March 2020;- HRK 666.000,00 for 167 employees as support for salaries in April 2020;- HRK 666.000,00 for 167 employees as support for salaries in May 2020;from Croatian Employment Fund (CEF). Further development remains to be seen.",www.mass-shoes.com,3.0,1.0,3.0,32,25,33,YES,NO,NO
OOO JEWELLERY HOUSE KRISTALL (LIMITED LIABILITY COMPANY),RU,Fédération de Russie,LIPETSK,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories",Manufacturing; Retail,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories [source: Bureau van Dijk]","kristall-shop.ru",4.0,4.0,3.0,32,26,38,YES,NO,NO
SALVADORI S.P.A.,IT,Italie,VENEZIA,SESTIERE SAN MARCO 67,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]","salvadori-venezia.com",5.0,3.0,4.0,30,22,28,YES,NO,NO
INTRAFASHION GROUP S.A.,GR,Grèce,KRINIDES,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing,Retail,"Imports, mfg (in third party facilities) and trade of women's wear, shoes, accessories, jewellery and cosmetics (also via internet). Franchising",www.pinkwoman-fashion.com,4.0,0.0,-5.0,30,20,27,YES,YES,
5 KARMANOV-A,RU,Fédération de Russie,DOLGOPRUDNYI,"PR-D LIKHACHEVSKII D. 4, STR. 2, KABINET 203",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of department stores,Retail,Trade in clothes,"5karmanov.ru",1.0,1.0,-1.0,29,22,38,YES,NO,NO
ZOLOTOI KVADRAT,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],No Website,2.0,1.0,1.0,29,20,34,YES,NO,NO
ALINA S.R.L.,IT,Italie,VILLARICCA,VIA ANIELLO PALUMBO 57,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],"www.danielloboutique.it",1.0,0.0,0.0,28,20,17,YES,NO,NO
MYRTO,BE,Belgique,BRUXELLES,ISIDORE GERARDLAAN 29,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of jewellery,Retail,Engaged in the retail distribution of jewellery [source: Bureau van Dijk],myrto.okinawa,6.0,3.0,2.0,28,18,23,YES,NO,NO
CALZEDONIA CROATIA D.O.O.,HR,Croatie,JALZABET,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and related accessories,Retail,Primarily engaged in the retail sale of clothing and related accessories [source: Bureau van Dijk],www.calzedonia.com,4.0,2.0,3.0,26,20,26,YES,NO,NO
DOMANI S.R.L.,IT,Italie,TREVIGLIO,VIA ROMA 8,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the management and operation of shoe stores,Retail; Services,Engaged in the management and operation of shoe stores [source: Bureau van Dijk],"www.pozzilei.it",2.0,2.0,1.0,26,23,25,YES,NO,NO
GIOIELLERIA B. S.R.L.,IT,Italie,ROMA,VIA DELLA CROCE 13,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of miscellaneous shopping goods,Retail,Operates as a retailer of miscellaneous shopping goods [source: Bureau van Dijk],www.gioielleriabonanno.it,1.0,1.0,0.0,26,16,12,YES,NO,NO
"FACIT - MERCATO DELLA CONFEZIONE S.P.A. O, IN FORMA ABBREVIATA FACIT S.P.A.",IT,Italie,TORINO,VIA CERVINO 23,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as retailer of furniture and home furnishing,Retail,Operates as retailer of furniture and home furnishing [source: Bureau van Dijk],"www.facitmoda.com",1.0,-3.0,0.0,26,18,30,YES,NO,YES
BENVENUTI SRL,RO,Roumanie,ORADEA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],www.benvenuti.ro,1.0,-1.0,1.0,25,20,28,YES,NO,NO
KEKALE OY,FI,Finlande,JOENSUU,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,"Toimiala: Yhtion toimialana on naisten, miesten ja lasten pukimien, musiikkiaanitteiden, kemikalien seka pukeutumiseen liittyvien tarvikkeiden myynti ja vaatteiden valmistus. Yhtiolla on oikeus toimintaansa varten omistaa ja hallita kiinteistoja ja osakkeita.",www.kekale.fi,-1.0,-2.0,-1.0,24,22,27,YES,YES,
SPORT VISION SKOPJE DOOEL,MK,Macédoine du Nord,SKOPJE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Operates a shoe store specializing in selling men's, women's and children's footwear",Retail,"Operates a shoe store specializing in selling men's, women's and children's footwear [source: Bureau van Dijk]",sportvision.mk,2.0,2.0,2.0,24,18,18,YES,NO,NO
YUVELIRNAYA SET EPL DAIMOND,RU,Fédération de Russie,MOSCOW,PER. 1-I SHCHIPKOVSKII D. 20,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of jewelry,Retail,Sale of jewellery.,epldiamond.com,1.0,0.0,2.0,23,16,23,YES,NO,NO
BASSETTI (DEUTSCHLAND) GMBH  ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,WALS-HIMMELREICH,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of home textiles,Retail,Engaged in the retail sale of home textiles [source: Bureau van Dijk],www.zucchibassetti.com,6.0,5.0,5.0,22,20,19,YES,NO,NO
FANTASIA S.R.L.,IT,Italie,GINOSA,VIA PITAGORA 56,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,"Engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.fantasiacalzature.it,0.0,0.0,1.0,22,22,23,YES,NO,NO
LAURAMAR,FR,France,LYON,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the rental and sale of real estate properties,Retail; Services,Engaged in the rental and sale of real estate properties [source: Bureau van Dijk],"www.maier.fr",3.0,2.0,2.0,22,15,16,YES,NO,NO
MANBOW,FR,France,PARIS,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale footwear,Retail,Engaged in the retail sale footwear [source: Bureau van Dijk],www.manfield.fr,0.0,-3.0,-2.0,21,17,30,YES,YES,
VALENTI & C. S.R.L.,IT,Italie,PISA,BORGO STRETTO 28,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear products in Italy,Retail,Engaged in the retail sale of footwear products in Italy [source: Bureau van Dijk],www.valentipisa.it,0.0,0.0,0.0,21,19,22,YES,NO,NO
PILAR PRIETO GUMIEL SL,ES,Espagne,ALCORCON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the production and retail distribution of clothing and accessories,Manufacturing; Retail,Engaged in the production and retail distribution of clothing and accessories [source: Bureau van Dijk],www.pilarprieto.es,2.0,0.0,2.0,20,15,24,YES,NO,NO
NIELSENS A/S,DK,Danemark,ODENSE SV,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of specialized lines of men's, women's, and children's clothing",Retail,"Engaged in the retail sale of specialized lines of men's, women's, and children's clothing [source: Bureau van Dijk]","www.nielsens.dk",4.0,-1.0,3.0,20,30,37,YES,NO,NO
VIGORA,RU,Fédération de Russie,MOSCOW,"PROEZD 2-I KAPOTNINSKII D. 1, STR. 3, POMESHCH. 2",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing and footwear products,Retail,Engaged in the retail trade of clothing and footwear products [source: Bureau van Dijk],www.vigorasildenafil.com,1.0,1.0,2.0,20,8,15,YES,NO,NO
STADIO SPORT SOCIEDAD LIMITADA,ES,Espagne,ARUCAS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of sporting goods store,Retail,Engaged in the operation of sporting goods store [source: Bureau van Dijk],www.estadiosport.net,3.0,1.0,2.0,20,18,23,YES,NO,NO
LOYTOTEX OY,FI,Finlande,KANGASALA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing store,Retail,"Yhtion toimialana on tekstiilien, paperi- ja muovituotteiden, kemikaalien ym. kodin tarvikkeiden ja elintarvikkeiden tukku- ja vahittaiskauppa seka ulkomaankauppa. Lisaksi yhtion toimialana on tekstiilituotteiden valmistus. Lisaksi yhtio voi omistaa ja hallita kiinteistoja ja arvopapereita seka kayda niilla kauppaa.",www.loytotex.fi,-1.0,-1.0,-1.0,20,21,23,YES,YES,
DESPI ASTIGI S.L.,ES,Espagne,CORNELLA DE LLOBREGAT,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of a jewelry store,Retail,Engaged in the operation of a jewelry store [source: Bureau van Dijk],No Website,0.0,0.0,0.0,19,24,9,YES,NO,NO
TOMASINI FRANCIA SRL,IT,Italie,SPOLETO,CORSO GIUSEPPE GARIBALDI 50,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of luxury watch and jewelry,Retail,Engaged in the retail trade of luxury watch and jewelry [source: Bureau van Dijk],"www.tomasinifrancia.it",2.0,1.0,0.0,19,16,18,YES,NO,NO
DESNUDOS SOCIEDAD LIMITADA,ES,Espagne,LAS PALMAS DE GRAN CANARIA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale and marketing of clothing and apparel products,Retail,Engaged in the retail sale and marketing of clothing and apparel products [source: Bureau van Dijk],www.desnudos.es,3.0,1.0,2.0,19,18,23,YES,NO,NO
IRINIK SRL,RO,Roumanie,BOTOSANI,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, luggage and leather goods",Retail,"Engaged in the retail sale of jewelry, luggage and leather goods [source: Bureau van Dijk]",www.sabrini.ro,1.0,1.0,1.0,19,12,14,YES,NO,NO
"VISAO DO TEMPO II - DISTRIBUICAO, S.A.",PT,Portugal,CARNAXIDE,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]","www.pandoraonline.pt/acerca-visao-do-tempo",2.0,1.0,2.0,19,18,28,YES,NO,NO
"EQUACAO DO TEMPO - RELOJOARIA, LDA",PT,Portugal,PORTO,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches,Retail,Engaged in the retail sale of watches [source: Bureau van Dijk],www.marcolino.pt,4.0,5.0,9.0,19,20,35,YES,NO,NO
"ARCO PAWEL NAGLY, JACEK DUDAK SP.J.",PL,Pologne,KATOWICE,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale and retail distribution of a general line of new clothing and accessories for men, women, and children",Wholesale; Retail,"Engaged in the wholesale and retail distribution of a general line of new clothing and accessories for men, women, and children [source: Bureau van Dijk]",www.sportjam.pl,3.0,0.0,1.0,19,14,20,YES,NO,NO
SERGIO CAPONE S.R.L.,IT,Italie,PISA,BORGO STRETTO 6,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of jewelry goods and watches,Retail,Operates as a retailer of jewelry goods and watches [source: Bureau van Dijk],"www.sergiocapone.it",2.0,1.0,2.0,18,13,16,YES,NO,NO
CHECK POINT S.P.A.,IT,Italie,ASOLA,VIA PARMA 66,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of a wide range of clothing and fashion accessories in Italy,Retail,Engaged in the retail distribution of a wide range of clothing and fashion accessories in Italy [source: Bureau van Dijk],"brixiagym.check-point.it",0.0,-1.0,0.0,18,20,19,YES,NO,YES
SPORTROOM SP. Z O.O. SP.K.,PL,Pologne,LODZ,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of footwear,Retail,Engaged in the retail distribution of footwear [source: Bureau van Dijk],www.wbsport.pl,1.0,1.0,0.0,18,14,13,YES,NO,NO
VAN GRAAF RUHAZATI ES KERESKEDELMI BETETI TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of fashion clothing and accessories,Retail,Engaged in the retail sale of fashion clothing and accessories [source: Bureau van Dijk],"www.vangraaf.com/hu",1.0,-1.0,2.0,18,14,21,YES,NO,NO
LANCERTO S.A.,PL,Pologne,LANCUT,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, particularly for men",Retail,"Engaged in the retail sale of clothing, particularly for men [source: Bureau van Dijk]",www.lancerto.com,3.0,0.0,1.0,18,11,16,YES,NO,NO
